class_idx,n_samples,mean_weight,std_weight,p10,p50,p90
167,191,0.5999999642372131,0.2011750340461731,0.29894736409187317,0.6168421506881714,0.8610526323318481
168,191,0.5999999642372131,0.21647387742996216,0.3073684275150299,0.6105263233184814,0.8884210586547852
169,191,0.6000000238418579,0.2038126140832901,0.33052632212638855,0.6021052598953247,0.8715789318084717
170,189,0.6000000238418579,0.21712355315685272,0.295319139957428,0.6042553186416626,0.8999999761581421
171,181,0.6000000238418579,0.19719263911247253,0.324444442987442,0.6088888645172119,0.855555534362793
172,185,0.6000000238418579,0.2200021594762802,0.313043475151062,0.6065217852592468,0.886956512928009
173,190,0.6000000238418579,0.21226491034030914,0.3096296191215515,0.5936508178710938,0.8734391331672668
174,184,0.5999999642372131,0.2149149626493454,0.29945358633995056,0.582513689994812,0.8950819969177246
175,181,0.5999999642372131,0.19938354194164276,0.3155555725097656,0.6066666841506958,0.8666666746139526
176,186,0.5999999642372131,0.18970711529254913,0.3632432520389557,0.5870270133018494,0.8778378963470459
177,181,0.6000000238418579,0.20976856350898743,0.2911111116409302,0.6177777647972107,0.8600000143051147
178,183,0.5999999642372131,0.21804799139499664,0.28219783306121826,0.6175824403762817,0.8918681144714355
179,190,0.6000000238418579,0.21195855736732483,0.3051851987838745,0.6211640238761902,0.8819047212600708
180,188,0.6000000238418579,0.2172214239835739,0.30203208327293396,0.6021390557289124,0.8962567448616028
181,190,0.6000000238418579,0.21883776783943176,0.27407407760620117,0.6042327880859375,0.8880422711372375
182,186,0.6000000238418579,0.16907784342765808,0.3524324297904968,0.6194594502449036,0.8075675964355469
183,183,0.6000000238418579,0.2232215702533722,0.30153846740722656,0.593406617641449,0.8945055603981018
184,157,0.6000000238418579,0.20315930247306824,0.264102578163147,0.6256410479545593,0.8594871163368225
185,185,0.6000000238418579,0.2028515487909317,0.30826088786125183,0.6195651888847351,0.863043487071991
186,182,0.6000000238418579,0.21313758194446564,0.30408838391304016,0.6353591084480286,0.8629834055900574
187,181,0.6000000238418579,0.21514292061328888,0.29777777194976807,0.6044444441795349,0.8711110949516296
188,181,0.5999999642372131,0.20692178606987,0.30222222208976746,0.6044444441795349,0.8777777552604675
189,184,0.6000000238418579,0.21309013664722443,0.2909289598464966,0.6349726915359497,0.8712568283081055
190,182,0.6000000238418579,0.21822629868984222,0.30872929096221924,0.6044198870658875,0.8914916515350342
191,186,0.6000000238418579,0.20841184258460999,0.2800000011920929,0.6302703022956848,0.8572973012924194
192,184,0.6000000238418579,0.20378901064395905,0.2837158441543579,0.6218579411506653,0.8579235076904297
193,184,0.6000000238418579,0.20853421092033386,0.29967212677001953,0.6153005957603455,0.8719125986099243
194,181,0.5999999642372131,0.21169042587280273,0.30666667222976685,0.6155555844306946,0.8799999952316284
195,153,0.6000000238418579,0.21749670803546906,0.2910526394844055,0.6052631735801697,0.8889474272727966
196,184,0.6000000238418579,0.20634038746356964,0.30994537472724915,0.6153005957603455,0.876284122467041
197,189,0.6000000238418579,0.2172815203666687,0.27872341871261597,0.6553191542625427,0.8642553091049194
198,172,0.5999999642372131,0.21238067746162415,0.2891228199005127,0.6070175170898438,0.8643275499343872
199,184,0.6000000238418579,0.2108529657125473,0.3272131383419037,0.5956284403800964,0.8972676992416382
200,184,0.6000000238418579,0.19020216166973114,0.28961747884750366,0.6349726915359497,0.8356283903121948
201,189,0.6000000238418579,0.20422466099262238,0.27829787135124207,0.6234042048454285,0.8595744371414185
202,162,0.6000000238418579,0.21349908411502838,0.30782610177993774,0.6273292303085327,0.8857142925262451
203,182,0.6000000834465027,0.20659475028514862,0.2780110538005829,0.6419889330863953,0.8647513389587402
204,190,0.6000000238418579,0.21183551847934723,0.2926984131336212,0.6105820536613464,0.8920634984970093
205,190,0.6000000238418579,0.20673799514770508,0.3291005492210388,0.5978836417198181,0.8704760670661926
206,181,0.6000000238418579,0.2067100703716278,0.29333335161209106,0.6155555844306946,0.8777777552604675
207,185,0.6000000238418579,0.21387971937656403,0.30130434036254883,0.6000000238418579,0.9026085734367371
208,189,0.6000000238418579,0.21025532484054565,0.28212764859199524,0.6340425610542297,0.8604254722595215
209,180,0.5999999642372131,0.21447987854480743,0.2846927344799042,0.6223463416099548,0.886256992816925
210,184,0.5999999642372131,0.21448840200901031,0.2893989086151123,0.6109289526939392,0.8769398927688599
211,186,0.6000000238418579,0.2139473706483841,0.29621621966362,0.6086487174034119,0.8637837767601013
212,184,0.6000000238418579,0.1880393773317337,0.28218579292297363,0.6349726915359497,0.8231693506240845
