class_idx,baseline_acc,tta_acc,delta
415,0.700000,0.700000,0.000000
416,0.619048,0.666667,0.047619
417,0.714286,0.809524,0.095238
418,0.809524,0.809524,0.000000
419,0.619048,0.666667,0.047619
420,0.523810,0.476190,-0.047619
421,0.318182,0.318182,0.000000
422,0.619048,0.571429,-0.047619
423,0.476190,0.428571,-0.047619
424,0.277778,0.277778,0.000000
425,0.800000,0.850000,0.050000
426,0.904762,0.904762,0.000000
427,0.400000,0.350000,-0.050000
428,0.714286,0.666667,-0.047619
429,0.900000,0.900000,0.000000
430,0.750000,0.700000,-0.050000
431,0.800000,0.650000,-0.150000
432,0.619048,0.619048,0.000000
433,0.952381,0.952381,0.000000
434,0.600000,0.600000,0.000000
435,0.714286,0.666667,-0.047619
436,0.619048,0.666667,0.047619
437,0.727273,0.727273,0.000000
438,0.666667,0.619048,-0.047619
439,0.476190,0.476190,0.000000
440,0.904762,0.857143,-0.047619
441,0.500000,0.500000,0.000000
442,0.857143,0.857143,0.000000
443,0.714286,0.666667,-0.047619
444,0.428571,0.428571,0.000000
445,0.666667,0.619048,-0.047619
446,0.904762,0.904762,0.000000
447,0.904762,0.904762,0.000000
448,0.850000,0.850000,0.000000
449,0.857143,0.904762,0.047619
450,0.750000,0.700000,-0.050000
451,0.650000,0.650000,0.000000
452,0.450000,0.450000,0.000000
453,0.900000,0.850000,-0.050000
454,0.800000,0.850000,0.050000
455,0.761905,0.761905,0.000000
456,0.380952,0.380952,0.000000
457,0.476190,0.523810,0.047619
458,0.761905,0.666667,-0.095238
459,0.809524,0.809524,0.000000
460,0.952381,0.952381,0.000000
461,0.900000,0.900000,0.000000
462,0.619048,0.666667,0.047619
463,0.285714,0.238095,-0.047619
464,0.900000,0.900000,0.000000
465,0.666667,0.666667,0.000000
466,0.800000,0.800000,0.000000
467,0.428571,0.428571,0.000000
468,0.750000,0.800000,0.050000
469,0.714286,0.714286,0.000000
470,0.142857,0.142857,0.000000
