original_label,sample_count,oof_accuracy,mean_p_original,mean_quality,mean_soft_weight,low_weight_fraction
251,189,0.708994708994709,0.6162895,0.5130952392325357,0.659166667462775,0.2328042328042328
252,181,0.9613259668508287,0.93916917,0.6616022118938397,0.7631215483256878,0.055248618784530384
253,184,0.8641304347826086,0.7657177,0.5718750012572855,0.7003125008800998,0.16847826086956522
254,181,0.850828729281768,0.7827626,0.5806629857285082,0.7064640900099557,0.17679558011049723
255,184,0.8369565217391305,0.7648207,0.6133152192418018,0.7293206534692613,0.1358695652173913
256,179,0.5251396648044693,0.3962464,0.49720670509688014,0.648044693567816,0.22346368715083798
257,181,0.7458563535911602,0.63392615,0.5395027636020387,0.6776519345214271,0.19337016574585636
258,186,0.8709677419354839,0.7375458,0.5372311840094226,0.6760618288065957,0.13440860215053763
259,189,0.783068783068783,0.72522104,0.578306880747042,0.7048148165229293,0.17989417989417988
260,187,0.8770053475935828,0.8232688,0.6008021409140232,0.7205614986398162,0.1711229946524064
261,187,0.6684491978609626,0.5398821,0.5318181834417709,0.6722727284092396,0.22994652406417113
262,191,0.675392670157068,0.56769073,0.5637434574653497,0.6946204202257448,0.1256544502617801
263,182,0.3241758241758242,0.2752701,0.46579670405199564,0.6260576928363969,0.2032967032967033
264,180,0.7111111111111111,0.6305018,0.5268055570622285,0.66876388994356,0.2222222222222222
265,182,0.7802197802197802,0.6591155,0.5320054961982501,0.672403847338775,0.21428571428571427
266,36,0.05555555555555555,0.079110876,0.4548611115457283,0.6184027780820097,0.16666666666666666
267,188,0.4946808510638298,0.3935195,0.4820478731469113,0.6374335112028379,0.2393617021276596
268,182,0.6868131868131868,0.5908652,0.5634615406803377,0.6944230784762364,0.14285714285714285
269,181,0.7679558011049724,0.72906005,0.5709944775050186,0.6996961342535131,0.20994475138121546
270,183,0.8306010928961749,0.72521675,0.5558743183994717,0.6891120228796301,0.23497267759562843
271,188,0.824468085106383,0.77509284,0.6117021296252596,0.7281914907376816,0.1595744680851064
272,183,0.819672131147541,0.7169378,0.5368852475810735,0.6758196733067514,0.18579234972677597
273,186,0.8924731182795699,0.8460229,0.6076612930885086,0.7253629051619559,0.08602150537634409
274,184,0.6521739130434783,0.54215926,0.48451087067470605,0.6391576094722942,0.2554347826086957
275,167,0.6766467065868264,0.6189409,0.5672155704906957,0.697050899343487,0.2275449101796407
276,189,0.8359788359788359,0.7280895,0.5415343929377813,0.6790740750564468,0.1746031746031746
277,190,0.8052631578947368,0.6971253,0.5606578966328187,0.6924605276429732,0.1631578947368421
278,184,0.8260869565217391,0.7466649,0.6105978283282045,0.7274184798297432,0.125
279,178,0.4044943820224719,0.28948063,0.44662921412983975,0.6126404498908878,0.21348314606741572
280,184,0.4076086956521739,0.32235417,0.4673913050665642,0.6271739135465948,0.2554347826086957
281,191,0.9057591623036649,0.8915433,0.6606020956860943,0.7624214669802659,0.08900523560209424
282,188,0.526595744680851,0.42391646,0.4739361712709069,0.6317553198896348,0.23404255319148937
283,187,0.5935828877005348,0.5015421,0.5209893060519415,0.664692514236359,0.19786096256684493
284,187,0.8663101604278075,0.7942103,0.5802139059864582,0.7061497341905206,0.1497326203208556
285,171,0.4152046783625731,0.32813466,0.4744152056107744,0.632090643927542,0.1695906432748538
286,166,0.4397590361445783,0.34340084,0.47650602502097567,0.6335542175146829,0.22289156626506024
287,177,0.655367231638418,0.54494596,0.4820621477303195,0.6374435034112236,0.2768361581920904
288,190,0.8263157894736842,0.7339029,0.583947370795435,0.7087631595568046,0.17894736842105263
289,186,0.967741935483871,0.93606937,0.6655913985784977,0.7659139790049483,0.08602150537634409
290,192,0.8177083333333334,0.6643383,0.5635416688999005,0.6944791682299304,0.171875
291,185,0.8432432432432433,0.758186,0.561081082681949,0.6927567578773643,0.14594594594594595
292,189,0.7566137566137566,0.6694612,0.5580687849846466,0.6906481494892527,0.19047619047619047
293,188,0.824468085106383,0.7387841,0.5303191504520464,0.6712234053164324,0.19148936170212766
294,186,0.6612903225806451,0.55627143,0.50591397972437,0.6541397858070589,0.23118279569892472
295,187,0.9251336898395722,0.88410425,0.6356951900005818,0.7449866330004074,0.0855614973262032
296,186,0.7365591397849462,0.64381725,0.5235215068784773,0.666465054814934,0.1881720430107527
297,182,0.7197802197802198,0.60422224,0.5273351665668108,0.6691346165967674,0.24175824175824176
298,184,0.5597826086956522,0.44950166,0.47785326172597703,0.6344972832081839,0.23369565217391305
299,182,0.5989010989010989,0.546825,0.533516485164208,0.6734615396149456,0.26373626373626374
300,172,0.6104651162790697,0.50750935,0.5187500011868948,0.6631250008308264,0.23255813953488372
301,184,0.8097826086956522,0.71659005,0.5343750017857098,0.6740625012499969,0.1956521739130435
302,179,0.21787709497206703,0.16445728,0.4297486037785947,0.6008240226450162,0.2737430167597765
303,184,0.8097826086956522,0.7274804,0.56141304500482,0.692989131503374,0.17391304347826086
304,180,0.4722222222222222,0.37958243,0.4655555567062563,0.6258888896943794,0.25
305,180,0.6888888888888889,0.53387195,0.4916666678318547,0.6441666674822982,0.20555555555555555
306,186,0.7258064516129032,0.6425965,0.5216397863141792,0.6651478504199254,0.20967741935483872
307,180,0.7333333333333333,0.64294803,0.5530555568925208,0.6871388898247646,0.17222222222222222
308,189,0.9047619047619048,0.8802691,0.6388888906273578,0.7472222234391503,0.12169312169312169
309,185,0.6594594594594595,0.58252376,0.5478378396441002,0.6834864877508702,0.1891891891891892
310,184,0.6413043478260869,0.55756,0.5343750018343005,0.6740625012840104,0.22826086956521738
311,186,0.8118279569892473,0.7359282,0.5813172063259507,0.7069220444281655,0.16129032258064516
312,173,0.24277456647398843,0.17126632,0.426734104457532,0.5987138731202725,0.2543352601156069
313,187,0.5668449197860963,0.48132455,0.47219251417779035,0.6305347599244532,0.24064171122994651
314,184,0.8260869565217391,0.75651824,0.5646739149324435,0.6952717404527103,0.17391304347826086
315,185,0.5837837837837838,0.4838089,0.508783785157107,0.6561486496099749,0.22702702702702704
316,188,0.7978723404255319,0.69832206,0.5462765974765446,0.6823936182335811,0.22340425531914893
317,184,0.8804347826086957,0.81827986,0.609782611084697,0.7268478277592879,0.15217391304347827
318,188,0.8882978723404256,0.80350405,0.5621010656032632,0.6934707459222841,0.14361702127659576
319,184,0.8369565217391305,0.74920386,0.5552989149223203,0.6887092404456242,0.16304347826086957
320,185,0.8540540540540541,0.80264384,0.591756758625443,0.71422973103781,0.15135135135135136
321,183,0.34972677595628415,0.300705,0.46639344336190186,0.6264754103533313,0.2677595628415301
322,181,0.7292817679558011,0.633823,0.5168508300794422,0.6617955810556095,0.22099447513812154
323,180,0.6611111111111111,0.5780838,0.5104166675234835,0.6572916672664384,0.22777777777777777
324,183,0.7540983606557377,0.661407,0.5228142088655728,0.665969946205901,0.20218579234972678
325,184,0.842391304347826,0.75963175,0.5758152193288603,0.7030706535302021,0.14673913043478262
326,143,0.34265734265734266,0.27366742,0.47937063008442626,0.6355594410590983,0.20279720279720279
327,188,0.5372340425531915,0.40523967,0.47207446923836116,0.6304521284668528,0.22340425531914893
328,189,0.8994708994708994,0.8616312,0.621031748702523,0.7347222240917661,0.12169312169312169
