label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
267,25,221,0.0237172395,0.9200000167,0.8399999738,0.08000004292
268,18,159,0.04792660847,0.4444444478,0.2222222239,0.2222222239
269,23,212,0.04722110182,0.7826086879,0.4782608747,0.3043478131
270,16,147,0.03986408189,0.1875,0.1875,0
271,19,169,0.04353545234,0.7894737124,0.6842105389,0.1052631736
272,15,136,0.03444697335,0.6000000238,0.5333333611,0.06666666269
273,17,156,0.03958377242,0.7647058964,0.3529411852,0.4117647111
274,16,143,0.04147440195,0.4375,0.3125,0.125
275,16,148,0.03614747897,0.75,0.625,0.125
276,24,219,0.02711465023,0.9166666865,0.9166666865,0
277,24,214,0.0243182797,0.9583333135,0.875,0.08333331347
278,16,146,0.03877897933,0.6875,0.6875,0
279,23,203,0.04756331071,0.7391304374,0.6521739364,0.08695650101
280,15,136,0.02807203121,0.7333333492,0.6666666865,0.06666666269
281,20,176,0.0407673195,0.8999999762,0.8999999762,0
282,18,165,0.0287451949,0.8888888955,0.777777791,0.1111111045
283,22,199,0.02415363677,1,0.9545454383,0.04545456171
284,15,137,0.04884003848,0.5333333611,0.400000006,0.1333333552
285,16,144,0.03643226251,0.8125,0.75,0.0625
286,24,215,0.03013168834,0.6666666865,0.5,0.1666666865
287,25,212,0.03888015077,0.8799999952,0.8799999952,0
288,23,207,0.03152150288,0.8695651889,0.8695651889,0
289,22,200,0.01715047471,1,0.9545454383,0.04545456171
290,22,196,0.04687196389,0.6363636255,0.6363636255,0
291,16,145,0.04470548779,0.8125,0.4375,0.375
292,22,201,0.03951798007,0.5454545617,0.3181818128,0.2272727489
293,23,205,0.03495768458,0.9565217495,0.8695651889,0.08695656061
294,19,175,0.02541713975,0.8947368264,0.947368443,-0.05263161659
295,24,212,0.03274002299,0.875,0.9166666865,-0.04166668653
296,20,177,0.02401757613,0.8500000238,0.8500000238,0
297,21,192,0.03742615506,0.9047619104,0.8571428657,0.04761904478
298,19,174,0.03218877688,0.8421052694,0.8421052694,0
299,16,141,0.02025004476,1,0.875,0.125
300,23,205,0.05091286823,0.6956521869,0.5217391253,0.1739130616
301,16,149,0.02488590032,1,1,0
302,24,215,0.02885034867,0.9583333135,0.9166666865,0.04166662693
303,22,198,0.04414805397,0.5909090638,0.5454545617,0.04545450211
304,14,131,0.04319968447,0.3571428657,0.2857142985,0.07142856717
305,3,28,0.0513138175,0,0,0
306,22,200,0.03998572752,0.9090909362,0.7727272511,0.1363636851
307,18,159,0.02595432848,0.1666666716,0.05555555597,0.1111111157
