class_index,class_name,count,D3_STRICT_accuracy,B2_GCE07_accuracy
407,0407,20,0.55,0.55
408,0408,21,0.5238095238095238,0.47619047619047616
409,0409,20,0.45,0.4
410,0410,21,0.8571428571428571,0.8571428571428571
411,0411,21,0.8095238095238095,0.8571428571428571
412,0412,21,0.5238095238095238,0.47619047619047616
413,0413,22,0.4090909090909091,0.5
414,0414,21,0.38095238095238093,0.38095238095238093
415,0415,20,0.7,0.6
416,0416,21,0.6666666666666666,0.6666666666666666
417,0417,21,0.7142857142857143,0.7619047619047619
418,0418,21,0.8095238095238095,0.7619047619047619
419,0419,21,0.6190476190476191,0.5714285714285714
420,0420,21,0.5238095238095238,0.42857142857142855
421,0421,22,0.3181818181818182,0.36363636363636365
422,0422,21,0.6190476190476191,0.42857142857142855
423,0423,21,0.47619047619047616,0.5238095238095238
424,0424,18,0.2777777777777778,0.2777777777777778
425,0425,20,0.8,0.8
426,0426,21,0.9047619047619048,0.9523809523809523
427,0427,20,0.4,0.2
428,0428,21,0.7142857142857143,0.7142857142857143
429,0429,20,0.9,0.85
430,0430,20,0.75,0.7
431,0431,20,0.8,0.6
432,0432,21,0.6190476190476191,0.7142857142857143
433,0433,21,0.9523809523809523,0.9523809523809523
434,0434,20,0.6,0.55
435,0435,21,0.7142857142857143,0.7142857142857143
436,0436,21,0.6190476190476191,0.6190476190476191
437,0437,22,0.7272727272727273,0.7272727272727273
438,0438,21,0.6666666666666666,0.6190476190476191
439,0439,21,0.47619047619047616,0.5714285714285714
440,0440,21,0.9047619047619048,0.8571428571428571
441,0441,20,0.5,0.55
442,0442,21,0.8571428571428571,0.7619047619047619
443,0443,21,0.7142857142857143,0.6666666666666666
444,0444,21,0.42857142857142855,0.38095238095238093
445,0445,21,0.6666666666666666,0.7142857142857143
446,0446,21,0.9047619047619048,0.8571428571428571
447,0447,21,0.9047619047619048,0.9523809523809523
448,0448,20,0.85,0.9
449,0449,21,0.8571428571428571,0.9047619047619048
450,0450,20,0.75,0.6
451,0451,20,0.65,0.7
452,0452,20,0.45,0.45
453,0453,20,0.9,0.9
454,0454,20,0.8,0.8
